loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,st_teff,st_mass,st_rad,rowupdate,pl_facility,last_updated
636,HD 30562,b,HD 30562 b,Radial Velocity,1,1157.0,2.34,0.76,,1.22,Msini,,,5882.0,1.12,1.61,2018-09-06,Lick Observatory,2018-09-06
637,HD 30669,b,HD 30669 b,Radial Velocity,1,1684.0,2.69,0.18,,0.47,Msini,,,5400.0,0.92,0.91,2015-01-08,La Silla Observatory,2015-01-08
638,HD 30856,b,HD 30856 b,Radial Velocity,1,847.0,1.85,0.061,,1.547,Msini,,,4895.0,1.17,4.4,2018-12-06,W. M. Keck Observatory,2018-12-06
639,HD 31253,b,HD 31253 b,Radial Velocity,1,466.0,1.26,0.3,,0.62,Msini,,,6130.0,1.7,1.75,2018-09-06,W. M. Keck Observatory,2018-09-06
640,HD 31527,b,HD 31527 b,Radial Velocity,3,16.5535,0.1254,0.1,,0.0329,Msini,,,5898.0,0.96,,2019-02-07,La Silla Observatory,2019-02-07
641,HD 31527,c,HD 31527 c,Radial Velocity,3,51.2053,0.2663,0.04,,0.0445,Msini,,,5898.0,0.96,,2019-02-07,La Silla Observatory,2019-02-07
642,HD 31527,d,HD 31527 d,Radial Velocity,3,271.6737,0.8098,0.24,,0.0372,Msini,,,5898.0,0.96,,2019-02-07,La Silla Observatory,2019-02-07
643,HD 3167,b,HD 3167 b,Transit,3,0.959624,0.0186,,,,,0.152,,5528.0,0.94,0.87,2018-10-26,K2,2018-10-26
644,HD 3167,c,HD 3167 c,Transit,3,29.83832,0.1841,,,,,0.255,,5528.0,0.94,0.87,2018-10-26,K2,2018-10-26
645,HD 3167,d,HD 3167 d,Radial Velocity,3,8.509,0.07757,0.36,,0.02171,Msini,,,5528.0,0.94,0.87,2019-01-31,W. M. Keck Observatory,2019-01-31
646,HD 32518,b,HD 32518 b,Radial Velocity,1,157.54,0.59,0.01,,3.04,Msini,,,4580.0,1.13,10.22,2014-05-14,Thueringer Landessternwarte Tautenburg,2014-05-14
647,HD 32963,b,HD 32963 b,Radial Velocity,1,2372.0,3.41,0.07,,0.7,Msini,,,5727.0,0.94,,2016-01-05,W. M. Keck Observatory,2016-01-05
648,HD 330075,b,HD 330075 b,Radial Velocity,1,3.38773,0.04,0.0,,0.48,Msini,,,5000.0,0.47,0.84,2018-09-06,La Silla Observatory,2018-09-06
649,HD 33142,b,HD 33142 b,Radial Velocity,2,326.0,1.07,0.066,,1.385,Msini,,,4978.0,1.41,4.45,2018-12-06,W. M. Keck Observatory,2018-12-06
650,HD 33142,c,HD 33142 c,Radial Velocity,2,834.0,,0.05,,5.97,Msini,,,4978.0,1.41,4.45,2018-11-29,W. M. Keck Observatory,2018-11-29
651,HD 33283,b,HD 33283 b,Radial Velocity,1,18.1991,0.1508,0.399,,0.329,Msini,,,5935.0,1.38,1.97,2018-09-27,W. M. Keck Observatory,2018-09-27
652,HD 33564,b,HD 33564 b,Radial Velocity,1,388.0,1.1,0.34,,9.1,Msini,,,6250.0,1.25,,2014-12-03,Haute-Provence Observatory,2014-12-03
653,HD 33844,b,HD 33844 b,Radial Velocity,2,551.40002,1.6,0.15,,2.01,Msini,,,4861.0,1.84,5.39,2018-09-06,Anglo-Australian Telescope,2018-09-06
654,HD 33844,c,HD 33844 c,Radial Velocity,2,916.0,2.24,0.13,,1.75,Msini,,,4861.0,1.84,5.39,2016-01-14,Anglo-Australian Telescope,2016-01-14
655,HD 34445,b,HD 34445 b,Radial Velocity,6,1049.0,2.07,0.27,,0.82,Msini,,,5879.0,1.14,1.38,2018-09-06,W. M. Keck Observatory,2018-09-06
656,HD 34445,c,HD 34445 c,Radial Velocity,6,214.67,0.7181,0.036,,0.168,Msini,,,5879.0,1.14,1.38,2017-10-26,Multiple Observatories,2017-10-26
657,HD 34445,d,HD 34445 d,Radial Velocity,6,117.87,0.4817,0.027,,0.097,Msini,,,5879.0,1.14,1.38,2017-10-26,Multiple Observatories,2017-10-26
658,HD 34445,e,HD 34445 e,Radial Velocity,6,49.175,0.2687,0.09,,0.0529,Msini,,,5879.0,1.14,1.38,2017-10-26,Multiple Observatories,2017-10-26
659,HD 34445,f,HD 34445 f,Radial Velocity,6,676.8,1.543,0.031,,0.119,Msini,,,5879.0,1.14,1.38,2017-10-26,Multiple Observatories,2017-10-26
660,HD 34445,g,HD 34445 g,Radial Velocity,6,5700.0,6.36,0.032,,0.38,Msini,,,5879.0,1.14,1.38,2017-10-26,Multiple Observatories,2017-10-26
661,HD 35759,b,HD 35759 b,Radial Velocity,1,82.467,0.389,0.389,,3.76,Msini,,,6060.0,1.15,,2016-02-25,Haute-Provence Observatory,2016-02-25
662,HD 3651,b,HD 3651 b,Radial Velocity,1,62.218,0.295,0.596,,0.229,Msini,,,5221.0,0.88,,2014-05-14,Multiple Observatories,2014-05-14
663,HD 37124,b,HD 37124 b,Radial Velocity,3,154.378,0.53364,0.054,,0.675,Msini,,,,0.85,,2016-08-18,W. M. Keck Observatory,2016-08-18
664,HD 37124,c,HD 37124 c,Radial Velocity,3,885.5,1.71,0.125,,0.652,Msini,,,,0.85,,2016-08-18,W. M. Keck Observatory,2016-08-18
665,HD 37124,d,HD 37124 d,Radial Velocity,3,1862.0,2.807,0.16,,0.696,Msini,,,,0.85,,2016-08-18,W. M. Keck Observatory,2016-08-18
666,HD 37605,b,HD 37605 b,Radial Velocity,2,55.01292,0.277,0.6745,,2.69,Msini,,,5329.0,0.94,0.91,2018-09-27,McDonald Observatory,2018-09-27
667,HD 37605,c,HD 37605 c,Radial Velocity,2,2720.0,3.74,0.03,,3.19,Msini,,,5329.0,0.94,0.91,2018-09-27,Multiple Observatories,2018-09-27
668,HD 38283,b,HD 38283 b,Radial Velocity,1,363.20001,1.02,0.41,,0.4,Msini,,,5981.0,1.37,1.49,2018-09-06,Anglo-Australian Telescope,2018-09-06
669,HD 38529,b,HD 38529 b,Radial Velocity,2,14.30944,0.1294,0.28,,0.797,Msini,,,5541.0,1.41,2.56,2018-12-06,Multiple Observatories,2018-12-06
670,HD 38529,c,HD 38529 c,Radial Velocity,2,2136.1,3.64,0.3407,,12.99,Msini,,,5541.0,1.41,2.56,2018-12-06,Multiple Observatories,2018-12-06
671,HD 38801,b,HD 38801 b,Radial Velocity,1,686.8,1.66,0.059,,10.13,Msini,,,5207.0,1.29,2.41,2018-12-06,Subaru Telescope,2018-12-06
672,HD 39091,b,HD 39091 b,Radial Velocity,2,2093.07,3.1,0.637,,10.02,Msini,,,6037.0,1.09,1.1,2018-11-15,Anglo-Australian Telescope,2018-11-15
673,HD 40307,b,HD 40307 b,Radial Velocity,5,4.3123,0.0468,0.2,,0.0126,Msini,,,4956.0,0.77,,2014-05-14,La Silla Observatory,2014-05-14
674,HD 40307,c,HD 40307 c,Radial Velocity,5,9.6184,0.0799,0.06,,0.0208,Msini,,,4956.0,0.77,,2014-05-14,La Silla Observatory,2014-05-14
675,HD 40307,d,HD 40307 d,Radial Velocity,5,20.432,0.1321,0.07,,0.0299,Msini,,,4956.0,0.77,,2014-05-14,La Silla Observatory,2014-05-14
676,HD 40307,f,HD 40307 f,Radial Velocity,5,51.76,0.247,0.02,,0.0164,Msini,,,4956.0,0.77,,2014-05-14,La Silla Observatory,2014-05-14
