Year,Area,Code,Number of children aged 5 (thousands) (=100%),"Diptheria, Tetanus, Polio: Primary","Diptheria, Tetanus, Polio: Primary and boost",Pertussis:Primary,Hib: Primary,MMR: first dose   ,MMR: first and second dose  ,MenC
2009,5LC,Westminster,1.9,90.2,90.2,89.8,91.1,88.2,,
2010,E16000009,Barking and Dagenham,3.3,83.3,84.5,70.1,85.9,69.4,,
2010,E16000006,Barnet,4.8,93.2,92.4,86.7,90.9,82.6,,
2010,E17000002,Bexley,2.8,94.7,94.7,80.3,88.2,79.0,,
2010,E16000045,Brent Teaching,4.2,94.4,86.5,78.3,92.7,82.2,,
2010,E16000004,Bromley,3.9,94.6,94.5,75.7,88.9,77.0,,
2010,E16000047,Camden,2.5,87.0,87.4,63.1,81.5,61.0,,
2010,E16000010,City and Hackney Teaching,3.8,89.9,89.9,57.7,86.5,64.8,,
2010,E16000049,Croydon,4.8,92.7,92.7,76.5,89.7,75.1,,
2010,E16000035,Ealing,5.3,93.8,93.8,84.6,92.0,80.1,,
2010,E16000008,Enfield,4.5,82.1,82.7,69.8,82.5,67.6,,
2010,E16000005,Greenwich,3.8,91.0,91.7,80.1,88.8,80.0,,
2010,E16000030,Hammersmith and Fulham,2.4,92.2,92.0,67.6,85.2,69.0,,
2010,E16000013,Haringey Teaching,3.4,87.9,87.9,54.4,84.3,77.8,,
2010,E16000046,Harrow,2.9,77.8,92.6,77.8,93.9,78.4,,
2010,E16000002,Havering,2.9,94.3,94.8,83.2,89.0,78.7,,
2010,E16000007,Hillingdon,3.6,94.6,94.1,89.8,91.4,86.8,,
2010,E16000036,Hounslow,3.9,89.1,89.1,67.2,88.9,68.0,,
2010,E16000048,Islington,2.3,92.5,93.0,77.6,88.2,75.0,,
2010,E16000056,Kensington and Chelsea,1.8,89.6,89.3,64.0,87.4,66.4,,
2010,E16000003,Kingston,2.3,93.4,93.3,74.7,89.2,82.2,,
2010,E16000058,Lambeth,4.1,92.9,93.3,73.8,88.5,75.2,,
2010,E16000060,Lewisham,4.2,90.3,90.3,62.5,85.3,65.8,,
2010,E16000012,Newham,5.5,84.7,84.6,69.6,81.1,77.0,,
2010,E16000083,Redbridge,3.8,89.8,89.8,78.8,88.1,77.2,,
2010,E16000067,Richmond and Twickenham,2.7,90.7,91.1,70.7,85.0,75.8,,
2010,E16000059,Southwark,3.9,86.5,86.9,67.7,83.7,68.9,,
2010,E16000068,Sutton and Merton,5.2,86.9,87.4,72.7,87.9,79.8,,
2010,E16000011,Tower Hamlets,3.3,95.5,96.3,94.4,95.7,93.7,,
2010,E16000084,Waltham Forest,3.9,91.9,91.4,82.1,89.5,80.7,,
2010,E16000061,Wandsworth,4.1,85.1,85.1,72.6,92.2,86.7,,
2010,E16000057,Westminster,2.1,91.1,91.1,88.8,91.4,87.6,,
2011,E16000009,Barking and Dagenham,3.7,89.4,90.3,79.6,88.7,77.9,,
2011,E16000006,Barnet,5.0,96.2,94.4,89.8,94.7,87.8,,
2011,E17000002,Bexley,3.0,95.8,95.8,82.1,92.3,84.9,,
2011,E16000045,Brent Teaching,4.6,96.3,89.0,87.6,95.2,89.1,,
2011,E16000004,Bromley,4.1,96.7,96.7,87.6,95.2,88.5,,
2011,E16000047,Camden,2.5,90.0,90.0,70.3,84.4,70.0,,
2011,E16000010,City and Hackney Teaching,4.0,90.2,90.2,69.0,88.4,71.3,,
2011,E16000049,Croydon,5.0,92.5,92.5,75.0,89.8,73.1,,
2011,E16000035,Ealing,5.4,95.9,95.9,85.7,94.1,84.2,,
2011,E16000008,Enfield,4.5,90.8,91.6,79.1,88.9,76.8,,
2011,E16000005,Greenwich,4.2,91.4,92.1,81.2,89.4,82.4,,
2011,E16000030,Hammersmith and Fulham,2.5,91.5,91.5,74.7,85.3,73.1,,
2011,E16000013,Haringey Teaching,3.6,87.4,87.4,83.0,88.0,83.1,,
2011,E16000046,Harrow,3.0,96.8,88.0,90.3,95.2,89.6,,
2011,E16000002,Havering,3.0,93.8,94.4,88.5,90.3,85.5,,
2011,E16000007,Hillingdon,3.8,94.8,94.3,90.8,93.1,88.6,,
2011,E16000036,Hounslow,4.0,92.7,88.2,76.6,92.3,75.8,,
2011,E16000048,Islington,2.3,98.2,98.2,81.4,93.1,83.0,,
2011,E16000056,Kensington and Chelsea,2.0,89.2,88.8,71.1,86.7,75.4,,
2011,E16000003,Kingston,2.5,95.6,95.5,77.4,91.3,83.3,,
2011,E16000058,Lambeth,4.1,92.6,93.0,70.3,87.7,76.3,,
2011,E16000060,Lewisham,4.3,91.2,91.5,67.6,86.7,69.7,,
2011,E16000012,Newham,6.2,87.5,87.5,64.9,79.8,77.3,,
2011,E16000083,Redbridge,4.1,90.6,90.5,78.7,89.2,77.1,,
2011,E16000067,Richmond and Twickenham,2.9,93.9,94.2,78.6,89.2,79.4,,
2011,E16000059,Southwark,4.2,87.6,88.0,66.1,85.8,71.4,,
2011,E16000068,Sutton and Merton,5.5,85.0,85.3,70.6,85.5,77.0,,
2011,E16000011,Tower Hamlets,3.4,96.1,97.5,94.7,95.6,93.7,,
2011,E16000084,Waltham Forest,4.1,93.0,92.9,82.7,90.7,81.5,,
2011,E16000061,Wandsworth,4.4,86.9,86.9,73.9,88.4,79.7,,
2011,E16000057,Westminster,2.1,89.9,90.0,87.5,89.3,84.2,,
2012,E16000009,Barking and Dagenham,3.8,93.1,93.6,85.9,92.7,85.0,,
2012,E16000006,Barnet,5.7,93.9,93.7,79.2,92.3,78.1,,
2012,E17000002,Bexley,3.2,96.5,96.5,84.4,93.7,88.1,,
2012,E16000045,Brent Teaching,4.5,96.0,90.1,88.1,94.4,88.4,,
2012,E16000004,Bromley,4.4,96.5,96.5,83.8,94.0,87.5,,
2012,E16000047,Camden,2.5,94.1,94.2,76.3,90.1,76.2,,
2012,E16000010,City and Hackney Teaching,3.9,92.5,92.5,76.9,91.7,79.2,,
2012,E16000049,Croydon,5.5,92.7,92.7,75.6,90.1,74.2,,
2012,E16000035,Ealing,6.1,96.0,96.0,84.1,94.0,82.5,,
2012,E16000008,Enfield,5.0,90.0,90.5,79.5,87.2,74.0,,
2012,E16000005,Greenwich,4.3,93.3,93.8,81.9,91.3,88.5,,
2012,E16000030,Hammersmith and Fulham,2.3,93.9,93.8,82.7,91.3,81.4,,
2012,E16000013,Haringey Teaching,3.6,91.4,91.4,87.4,91.0,86.8,,
2012,E16000046,Harrow,3.1,96.3,89.4,89.4,94.6,89.0,,
2012,E16000002,Havering,3.1,93.2,93.5,89.0,90.7,87.1,,
2012,E16000007,Hillingdon,4.1,95.6,95.5,90.2,93.6,89.0,,
2012,E16000036,Hounslow,4.1,94.2,91.2,79.7,93.4,77.4,,
2012,E16000048,Islington,2.3,96.5,96.5,86.6,94.7,86.1,,
2012,E16000056,Kensington and Chelsea,1.8,89.5,89.5,73.6,87.7,72.9,,
2012,E16000003,Kingston,2.7,95.2,94.8,82.9,91.8,83.7,,
