borough_code,borough_name,party,party_long,number_votes
E09000022,Lambeth,UKIP,Conservative Party,765
E09000022,Lambeth,WEP,Conservative Party,1534
E09000023,Lewisham,AGS,Alliance for Green Socialism,209
E09000023,Lewisham,BNP,British National Party,98
E09000023,Lewisham,CON,Alliance for Green Socialism,822
E09000023,Lewisham,CON,British National Party,1421
E09000023,Lewisham,CON,Conservative Party,25509
E09000023,Lewisham,CPA,Conservative Party,281
E09000023,Lewisham,DP,Conservative Party,392
E09000023,Lewisham,DVP,British National Party,221
E09000023,Lewisham,GRE,Alliance for Green Socialism,1168
E09000023,Lewisham,GRE,British National Party,313
E09000023,Lewisham,GRE,Conservative Party,21661
E09000023,Lewisham,IND,Conservative Party,348
E09000023,Lewisham,LAB,Alliance for Green Socialism,8622
E09000023,Lewisham,LAB,British National Party,5004
E09000023,Lewisham,LAB,Conservative Party,106637
E09000023,Lewisham,LD,Alliance for Green Socialism,1121
E09000023,Lewisham,LD,British National Party,708
E09000023,Lewisham,LD,Conservative Party,22106
E09000023,Lewisham,TUSC,Conservative Party,483
E09000023,Lewisham,UKIP,British National Party,180
E09000023,Lewisham,UKIP,Conservative Party,163
E09000023,Lewisham,WEP,Conservative Party,2158
E09000024,Merton,CON,Conservative Party,56223
E09000024,Merton,DP,Conservative Party,33
E09000024,Merton,DVP,Conservative Party,151
E09000024,Merton,GRE,Conservative Party,4970
E09000024,Merton,IND,Conservative Party,836
E09000024,Merton,LAB,Conservative Party,83890
E09000024,Merton,LD,Conservative Party,26158
E09000024,Merton,REA,Conservative Party,5898
E09000024,Merton,TUSC,Conservative Party,77
E09000024,Merton,UKIP,Conservative Party,459
E09000025,Newham,COM,Communist League,52
E09000025,Newham,CON,Communist League,1591
E09000025,Newham,CON,Conservative Party,27385
E09000025,Newham,CPA,Communist League,374
E09000025,Newham,CPA,Conservative Party,4268
E09000025,Newham,DVP,Conservative Party,372
E09000025,Newham,GRE,Communist League,392
E09000025,Newham,GRE,Conservative Party,5789
E09000025,Newham,IND,Conservative Party,958
E09000025,Newham,LAB,Communist League,7289
E09000025,Newham,LAB,Conservative Party,138590
E09000025,Newham,LD,Communist League,412
E09000025,Newham,LD,Conservative Party,6435
E09000025,Newham,TUSC,Conservative Party,634
E09000025,Newham,UKIP,Conservative Party,512
E09000026,Redbridge,CON,Conservative Party,77055
E09000026,Redbridge,GRE,Conservative Party,3455
E09000026,Redbridge,IND,Conservative Party,1636
E09000026,Redbridge,LAB,Conservative Party,127484
E09000026,Redbridge,LD,Conservative Party,8110
E09000026,Redbridge,RTU,Conservative Party,623
E09000027,Richmond upon Thames,CON,Conservative Party,78431
E09000027,Richmond upon Thames,GRE,Conservative Party,9392
E09000027,Richmond upon Thames,IND,Conservative Party,547
E09000027,Richmond upon Thames,LAB,Conservative Party,21732
E09000027,Richmond upon Thames,LD,Conservative Party,97498
E09000027,Richmond upon Thames,SP,Conservative Party,28
E09000027,Richmond upon Thames,UKIP,Conservative Party,452
E09000027,Richmond upon Thames,WEP,Conservative Party,741
E09000028,Southwark,CON,Conservative Party,19800
E09000028,Southwark,CPA,Conservative Party,71
E09000028,Southwark,GRE,Conservative Party,20493
E09000028,Southwark,IND,Conservative Party,612
E09000028,Southwark,LAB,Conservative Party,106298
E09000028,Southwark,LD,Conservative Party,43809
E09000028,Southwark,SP,Conservative Party,27
E09000028,Southwark,TUSC,Conservative Party,62
E09000028,Southwark,UKIP,Conservative Party,569
E09000028,Southwark,WEP,Conservative Party,1193
E09000029,Sutton,CON,Conservative Party,64945
E09000029,Sutton,CPA,Conservative Party,69
E09000029,Sutton,GRE,Conservative Party,4478
E09000029,Sutton,IND,Conservative Party,4128
E09000029,Sutton,LAB,Conservative Party,31753
E09000029,Sutton,LD,Conservative Party,69320
E09000029,Sutton,NF,Conservative Party,49
E09000029,Sutton,UKIP,Conservative Party,4083
E09000030,Tower Hamlets,ASP,Aspire,26510
E09000030,Tower Hamlets,CON,Aspire,17106
E09000030,Tower Hamlets,GRE,Aspire,13659
E09000030,Tower Hamlets,IND,Aspire,590
E09000030,Tower Hamlets,LAB,Aspire,79552
E09000030,Tower Hamlets,LD,Aspire,14899
E09000030,Tower Hamlets,PATH,Aspire,19580
E09000030,Tower Hamlets,RNW,Aspire,154
E09000030,Tower Hamlets,WEP,Aspire,564
E09000031,Waltham Forest,CON,Conservative Party,47608
E09000031,Waltham Forest,DP,Conservative Party,349
E09000031,Waltham Forest,GRE,Conservative Party,10963
E09000031,Waltham Forest,IND,Conservative Party,385
E09000031,Waltham Forest,LAB,Conservative Party,115189
E09000031,Waltham Forest,LD,Conservative Party,20453
E09000031,Waltham Forest,LIND,Conservative Party,259
E09000031,Waltham Forest,NLP,Conservative Party,117
E09000031,Waltham Forest,TUSC,Conservative Party,2836
E09000032,Wandsworth,CON,Conservative Party,121295
E09000032,Wandsworth,DP,Conservative Party,96
E09000032,Wandsworth,DVP,Conservative Party,26
E09000032,Wandsworth,GRE,Conservative Party,12969
E09000032,Wandsworth,IND,Conservative Party,4150
E09000032,Wandsworth,LAB,Conservative Party,122140
E09000032,Wandsworth,LD,Conservative Party,24387
E09000032,Wandsworth,RNW,Conservative Party,2474
E09000032,Wandsworth,UKIP,Conservative Party,269
E09000033,Westminster,CAPO,Campaign Against Pedestrianisation of Oxford Street,1098
E09000033,Westminster,CON,Campaign Against Pedestrianisation of Oxford Street,9452
E09000033,Westminster,CON,Conservative Party,56060
E09000033,Westminster,CPA,Conservative Party,39
E09000033,Westminster,GRE,Campaign Against Pedestrianisation of Oxford Street,632
E09000033,Westminster,GRE,Conservative Party,2437
E09000033,Westminster,IND,Conservative Party,164
E09000033,Westminster,LAB,Campaign Against Pedestrianisation of Oxford Street,5530
E09000033,Westminster,LAB,Conservative Party,56879
E09000033,Westminster,LD,Campaign Against Pedestrianisation of Oxford Street,1962
E09000033,Westminster,LD,Conservative Party,12020
