,Period beginning,Period ending,Days in period,Journey type,Passengers (m)
294,2015-10-18,2015-11-14,28,DLR Journeys (m),8.9
295,2015-11-15,2015-12-12,28,DLR Journeys (m),9.4
296,2015-12-13,2016-01-09,28,DLR Journeys (m),7.1
297,2016-01-10,2016-02-06,28,DLR Journeys (m),9.3
298,2016-02-07,2016-03-05,28,DLR Journeys (m),9.5
299,2016-03-06,2016-03-31,31,DLR Journeys (m),8.4
300,2016-04-01,2016-04-30,30,DLR Journeys (m),10.4
301,2016-05-01,2016-05-28,28,DLR Journeys (m),9.5
302,2016-05-29,2016-06-25,28,DLR Journeys (m),9.2
303,2016-06-26,2016-07-23,28,DLR Journeys (m),9.4
304,2016-07-24,2016-08-20,28,DLR Journeys (m),9.0
305,2016-08-21,2016-09-17,28,DLR Journeys (m),8.8
306,2016-09-18,2016-10-15,28,DLR Journeys (m),9.6
307,2016-10-16,2016-11-12,28,DLR Journeys (m),10.1
308,2016-11-13,2016-12-10,28,DLR Journeys (m),10.1
309,2016-12-11,2017-01-07,28,DLR Journeys (m),7.6
310,2017-01-08,2017-02-04,28,DLR Journeys (m),9.6
311,2017-02-05,2017-03-04,28,DLR Journeys (m),9.7
312,2017-03-05,2017-03-31,27,DLR Journeys (m),9.5
313,2017-04-01,2017-04-29,29,DLR Journeys (m),9.7
314,2017-04-30,2017-05-27,28,DLR Journeys (m),9.4
315,2017-05-28,2017-06-24,28,DLR Journeys (m),9.2
316,2017-06-25,2017-07-22,28,DLR Journeys (m),9.6
317,2017-07-23,2017-08-19,28,DLR Journeys (m),9.2
318,2017-08-20,2017-09-16,28,DLR Journeys (m),8.6
319,2017-09-17,2017-10-14,28,DLR Journeys (m),9.6
320,2017-10-15,2017-11-11,28,DLR Journeys (m),9.9
321,2017-11-12,2017-12-09,28,DLR Journeys (m),9.8
322,2017-12-10,2018-01-06,28,DLR Journeys (m),7.4
323,2018-01-07,2018-02-03,28,DLR Journeys (m),9.3
324,2018-02-04,2018-03-03,28,DLR Journeys (m),9.3
325,2018-03-04,2018-03-31,28,DLR Journeys (m),8.7
326,2018-04-01,2018-04-28,28,DLR Journeys (m),9.4
327,2018-04-29,2018-05-26,28,DLR Journeys (m),9.7
328,2018-05-27,2018-06-23,28,DLR Journeys (m),9.2
329,2018-06-24,2018-07-21,28,DLR Journeys (m),9.6
330,2018-07-22,2018-08-18,28,DLR Journeys (m),9.0
331,2018-08-19,2018-09-15,28,DLR Journeys (m),8.6
332,2018-09-16,2018-10-13,28,DLR Journeys (m),9.6
333,2010-04-01,2010-05-01,31,Tram Journeys (m),2.3
334,2010-05-02,2010-05-29,28,Tram Journeys (m),2.2
335,2010-05-30,2010-06-26,28,Tram Journeys (m),2.1
336,2010-06-27,2010-07-24,28,Tram Journeys (m),2.1
337,2010-07-25,2010-08-21,28,Tram Journeys (m),2.0
338,2010-08-22,2010-09-18,28,Tram Journeys (m),2.0
339,2010-09-19,2010-10-16,28,Tram Journeys (m),2.3
340,2010-10-17,2010-11-13,28,Tram Journeys (m),2.2
341,2010-11-14,2010-12-11,28,Tram Journeys (m),2.3
342,2010-12-12,2011-01-08,28,Tram Journeys (m),1.8
343,2011-01-09,2011-02-05,28,Tram Journeys (m),2.1
344,2011-02-06,2011-03-05,28,Tram Journeys (m),2.2
345,2011-03-06,2011-03-31,26,Tram Journeys (m),2.1
346,2011-04-01,2011-04-30,30,Tram Journeys (m),2.1
347,2011-05-01,2011-05-28,28,Tram Journeys (m),2.2
348,2011-05-29,2011-06-25,28,Tram Journeys (m),2.2
349,2011-06-26,2011-07-23,28,Tram Journeys (m),2.3
350,2011-07-24,2011-08-20,28,Tram Journeys (m),1.9
351,2011-08-21,2011-09-17,28,Tram Journeys (m),2.1
352,2011-09-18,2011-10-15,28,Tram Journeys (m),2.4
353,2011-10-16,2011-11-12,28,Tram Journeys (m),2.3
354,2011-11-13,2011-12-10,28,Tram Journeys (m),2.4
355,2011-12-11,2012-01-07,28,Tram Journeys (m),1.9
356,2012-01-08,2012-02-04,28,Tram Journeys (m),2.2
357,2012-02-05,2012-03-03,28,Tram Journeys (m),2.0
358,2012-03-04,2012-03-31,28,Tram Journeys (m),2.3
359,2012-04-01,2012-04-28,28,Tram Journeys (m),2.1
360,2012-04-29,2012-05-26,28,Tram Journeys (m),2.3
361,2012-05-27,2012-06-23,28,Tram Journeys (m),2.2
362,2012-06-24,2012-07-21,28,Tram Journeys (m),2.5
363,2012-07-22,2012-08-18,28,Tram Journeys (m),2.3
364,2012-08-19,2012-09-15,28,Tram Journeys (m),2.4
365,2012-09-16,2012-10-13,28,Tram Journeys (m),2.5
366,2012-10-14,2012-11-10,28,Tram Journeys (m),2.2
367,2012-11-11,2012-12-08,28,Tram Journeys (m),2.5
368,2012-12-09,2013-01-05,28,Tram Journeys (m),2.0
369,2013-01-06,2013-02-02,28,Tram Journeys (m),2.3
370,2013-02-03,2013-03-02,28,Tram Journeys (m),2.4
371,2013-03-03,2013-03-31,29,Tram Journeys (m),2.4
372,2013-04-01,2013-04-27,27,Tram Journeys (m),2.3
373,2013-04-28,2013-05-25,28,Tram Journeys (m),2.5
374,2013-05-26,2013-06-22,28,Tram Journeys (m),2.4
375,2013-06-23,2013-07-20,28,Tram Journeys (m),2.5
376,2013-07-21,2013-08-17,28,Tram Journeys (m),2.2
377,2013-08-18,2013-09-14,28,Tram Journeys (m),2.0
378,2013-09-15,2013-10-12,28,Tram Journeys (m),2.6
379,2013-10-13,2013-11-09,28,Tram Journeys (m),2.4
380,2013-11-10,2013-12-07,28,Tram Journeys (m),2.6
381,2013-12-08,2014-01-04,28,Tram Journeys (m),2.0
382,2014-01-05,2014-02-01,28,Tram Journeys (m),2.4
383,2014-02-02,2014-03-01,28,Tram Journeys (m),2.4
384,2014-03-02,2014-03-31,30,Tram Journeys (m),2.8
