Year,Station,Entry-Weekday,Entry-Sat,Entry-Sun,Exit-Weekday,Exit-Sat,Exit-Sun,Entry & Exit-Annual
2007,South Ealing                       ,5535,3973,2439,5380,3641,2453,213.29
2007,South Harrow                       ,3390,2337,1509,3551,2308,1531,133.80
2007,South Kensington                   ,42836,31554,24366,43472,34714,25953,1784.56
2007,South Kenton                       ,1317,830,451,1321,751,501,48.60
2007,South Ruislip                      ,2645,1348,738,2497,1222,736,89.38
2007,South Wimbledon                    ,6100,4116,2622,5677,4027,2749,230.07
2007,South Woodford                     ,6335,3373,1733,6078,3479,1893,220.19
2007,Southfields                        ,9781,7490,4486,8239,5760,3875,359.12
2007,Southgate                          ,7661,5204,3193,7716,4981,3340,294.79
2007,Southwark                          ,14718,5294,3285,15114,5628,3595,482.48
2007,St. James's Park                   ,22684,5468,3791,24666,6181,4667,714.63
2007,St. John's Wood                    ,10571,6875,4643,10713,6790,4766,407.00
2007,St. Paul's                         ,22329,9426,6454,23191,9078,6290,760.64
2007,Stamford Brook                     ,4658,3214,2000,4244,2623,1793,170.71
2007,Stanmore                           ,4511,3042,1946,4496,3139,1914,174.22
2007,Stepney Green                      ,6884,4121,3033,6185,3346,2702,244.18
2007,Stockwell                          ,13896,9807,6021,11067,8893,5964,501.27
2007,Stonebridge Park                   ,3344,1817,1495,3429,1842,1554,125.20
2007,Stratford                          ,40084,30755,21334,38540,31154,21310,1621.09
2007,Sudbury Hill                       ,3601,2376,1462,3512,2261,1440,135.30
2007,Sudbury Town                       ,3611,2476,1694,3829,1546,1740,138.35
2007,Surrey Quays                       ,4163,3127,2025,3433,2695,1896,154.90
2007,Swiss Cottage                      ,11748,8182,5551,11113,7508,5361,448.64
2007,Temple                             ,12784,3904,1961,13723,4131,1854,405.53
2007,Theydon Bois                       ,1097,565,289,1076,543,284,37.63
2007,Tooting Bec                        ,11542,8656,5425,10667,7370,5431,442.66
2007,Tooting Broadway                   ,20901,15784,10210,20276,14423,10079,824.19
2007,Tottenham Court Road               ,55533,47130,28695,58170,51826,28531,2380.51
2007,Tottenham Hale                     ,12884,8590,5345,11935,6938,5056,469.96
2007,Totteridge & Whetstone             ,2830,1501,833,2722,1334,823,97.25
2007,Tower Hill                         ,28863,22680,16323,30416,24807,17124,1232.70
2007,Tufnell Park                       ,5490,4406,2684,4599,3210,2311,204.13
2007,Turnham Green                      ,9512,6627,3852,9342,6140,4055,362.90
2007,Turnpike Lane                      ,14523,12559,8795,15284,10631,8455,618.97
2007,Upminster                          ,7622,4040,2586,7628,3656,2674,270.11
2007,Upminster Bridge                   ,1687,372,114,1204,331,110,42.26
2007,Upney                              ,3144,1822,1103,3064,1278,1085,110.18
2007,Upton Park                         ,13869,10691,7058,13454,10491,6929,556.91
2007,Uxbridge                           ,10495,6996,3789,10517,6452,4174,394.71
2007,Vauxhall                           ,33272,17714,12884,28434,15869,11935,1129.47
2007,Victoria                           ,119294,84439,56198,122344,81230,56637,4722.89
2007,Walthamstow Central                ,22505,16182,10681,20588,15323,9693,857.64
2007,Wanstead                           ,3634,2310,1321,3578,2147,1312,133.94
2007,Wapping                            ,2355,2266,1452,2268,1990,1428,101.49
2007,Warren Street                      ,24545,8704,5590,25283,9221,5176,800.20
2007,Warwick Avenue                     ,6950,5070,3287,6264,4421,3269,263.60
2007,Waterloo                           ,122420,73111,43204,122204,72447,48074,4512.52
2007,Watford                            ,2894,1500,826,2621,1467,745,97.22
2007,Wembley Central                    ,4989,3645,2896,4874,3800,2457,201.29
2007,Wembley Park                       ,15928,17192,12516,16969,21829,13843,807.35
2007,West Acton                         ,2586,1707,1042,2439,1506,1037,95.39
2007,West Brompton                      ,5767,4525,2468,6171,4502,2395,235.08
2007,West Finchley                      ,2108,1037,603,1827,877,569,68.36
2007,West Ham                           ,5158,4002,2640,4673,3368,2415,199.20
2007,West Hampstead                     ,12670,9882,6649,10285,7787,5768,472.08
2007,West Harrow                        ,1933,991,613,1910,1022,622,68.04
2007,West Kensington                    ,8103,6240,3927,6949,5040,3583,303.96
2007,West Ruislip                       ,2161,1336,621,2005,1070,633,74.95
2007,Westbourne Park                    ,4980,3384,2100,4148,2911,1902,177.74
2007,Westminster                        ,26901,24293,18131,27512,23607,17558,1187.93
2007,White City                         ,13233,5373,2630,12692,5663,2487,425.35
2007,Whitechapel                        ,20162,10986,8667,20192,11365,9212,748.06
2007,Willesden Green                    ,13293,10712,7234,12843,9527,7188,538.45
