Latitude,Longitude,Station Name
51.6517,-0.1496,"Cockfosters"
51.6476,-0.1318,"Oakwood"
51.6322,-0.128,"Southgate"
51.6937,0.1139,"Epping"
51.6717,0.1033,"Theydon Bois"
51.6455,0.0838,"Debden"
51.6412,0.0558,"Loughton"
51.6266,0.0471,"Buckhurst Hill"
51.5343,-0.0139,"Pudding Mill Lane"
51.504,-0.1052,"Southwark"
51.4982,-0.0502,"Canada Water"
51.5147,0.0082,"Canning Town"
51.5005,0.0039,"North Greenwich"
51.4827,-0.0096,"Cutty Sark"
51.4781,-0.0149,"Greenwich"
51.474,-0.0216,"Deptford Bridge"
51.4693,-0.0174,"Elverson Road"
51.4657,-0.0142,"Lewisham"
51.4767,-0.0327,"New Cross"
51.4757,-0.0402,"New Cross Gate"
51.5027,0.0226,"West Silvertown"
51.502,0.0627,"King George V"
51.5021,0.0319,"Pontoon Dock"
51.5037,0.0488,"London City Airport"
